# Downloaded spreadsheet from https://www.dlms.com/flag-id/flag-id-list
# and saved as tab separated list and added this header. 2019-04-01
# FLAG ID <TAB> Manufacturer <TAB> Country <TAB> World Region
HMI	HMI Energy Co., Ltd.	Taiwan	Asia
HML	Holley Technology Ltd., 181 WuChang Avenue	China	Asia
HMS	Hermes Systems	Australia	Australia & Oceania
HMU	Hugo Müller GmbH & Co KG	Germany	Europe
HND	Shenzhen Hemei Group Co., Ltd.	China	Asia
HOE	HOENTZSCH GMBH	Germany	Europe
HOL	Holosys d.o.o.	Croatia	Europe
HON	Honeywell Technologies Sarl	Switzerland	Europe
HOY	Holley Meters	India	Asia
HPL	HPL-Socomec Pvt. Ltd.	India	Asia
HPM	HANGZHOU HPM COMPANY LIMITED	China	Asia
HRM	Hefei Runa Metering Co., Ltd.	China	Asia
HRS	HomeRider SA	France	Europe
HSD	Ningbo Histar Meter Technology Co.,Ltd.	China	Asia
HST	HST Equipamentos Electronicos Ltda
HTC	Horstmann Timers and Controls Ltd.
HTI	Shandong Hetong Information Technology CO.,Ltd.	China	Asia
HTL	Ernst Heitland GmbH & Co. KG, Erlenstr. 8-10	Germany	Europe
HTS	HTS-Elektronik GmbH
HUK	Helbeck & Kusemann GmbH & Co. KG	Germany	Europe
HVG	Hekatron Vertriebs GmbH	Germany	Europe
HVT	Helvatron AG	Switzerland	Europe
HWC	Qingdao Hiwits Meter Co.,Ltd.	China	Asia
HWM	Beijing Hongwei Chaoda Instrument Manufacturing Co.,Ltd.	China	Asia
HWT	Huawei Technologies Co. Ltd.	China	Asia
HXD	Beijing HongHaoXingDa Meters CO.,LTD.	China	Asia
HXE	Hexing Electrical Co. Ltd.	China	Asia
HXW	Hangzhou Xili Watthour Meter Manufacture Co. Ltd.	China	Asia
HYD	Hydrometer GmbH
HYE	Zhejiang Hyayi Electronic Industry Co Ltd.	China	Asia
HYG	Hydrometer Group	Germany	Europe
HZC	TANGSHAN HUIZHONG INSTRUMENTATION CO., LTD. 	China	Asia
HZI	TANGSHAN HUIZHONG INSTRUMENTATION CO., LTD. 	China	Asia
HZZ	Huizhou Zhongcheng Electronic Technology Co.,Ltd.	China	Asia
IAC	INHEMETER AFRICA COMPANY LIMITED	Kenya	Africa
IBE	IBOT ENERGY SYSTEMS INDIA PRIVATE LIMITED	India	Asia
IBG	ITI LIMITED, BANGALORE PLANT	India	Asia
ICB	Inscobee	South Korea	Asia
ICK	I&C Technology	South Korea	Asia
ICM	Intracom	Greece	Europe
ICP	PT Indonesia Comnets Plus	Indonesia	Asia
ICS	ICSA (India) Limited	India	Asia
ICT	International Control Metering-Technologies GmbH	Germany	Europe
ICU	i-cube	Switzerland	Europe
IDE	IMIT S.p.A
